contender, input_graph, iteration, num_vertices, num_edges, factory_time_ns, execution_time_ns, result_correct
parallel_i_max_filter, GNM, 0, 16384, 2097152, 30, 15611165, yes
parallel_i_max_filter, GNM, 1, 16384, 2097152, 30, 15759547, yes
parallel_i_max_filter, GNM, 2, 16384, 2097152, 40, 15740397, yes
parallel_i_max_filter, GNM, 3, 16384, 2097152, 30, 15746847, yes
jarnik_prim, GNM, 0, 16384, 2097152, 40, 30467660, yes
jarnik_prim, GNM, 1, 16384, 2097152, 20, 30646474, yes
jarnik_prim, GNM, 2, 16384, 2097152, 20, 30658544, yes
jarnik_prim, GNM, 3, 16384, 2097152, 30, 30753164, yes
fast_kruskal, GNM, 0, 16384, 4194304, 30, 454927216, yes
fast_kruskal, GNM, 1, 16384, 4194304, 30, 261753211, yes
fast_kruskal, GNM, 2, 16384, 4194304, 20, 261786127, yes
fast_kruskal, GNM, 3, 16384, 4194304, 30, 261096140, yes
i_max_filter, GNM, 0, 16384, 4194304, 20, 28792130, yes
i_max_filter, GNM, 1, 16384, 4194304, 30, 28712909, yes
i_max_filter, GNM, 2, 16384, 4194304, 30, 28621218, yes
i_max_filter, GNM, 3, 16384, 4194304, 20, 28832549, yes
parallel_i_max_filter, GNM, 0, 16384, 4194304, 40, 22657354, yes
parallel_i_max_filter, GNM, 1, 16384, 4194304, 20, 21345796, yes
parallel_i_max_filter, GNM, 2, 16384, 4194304, 40, 21368737, yes
parallel_i_max_filter, GNM, 3, 16384, 4194304, 30, 21342977, yes
jarnik_prim, GNM, 0, 16384, 4194304, 30, 58639471, yes
jarnik_prim, GNM, 1, 16384, 4194304, 40, 58040144, yes
jarnik_prim, GNM, 2, 16384, 4194304, 30, 58227426, yes
jarnik_prim, GNM, 3, 16384, 4194304, 40, 58472679, yes
fast_kruskal, GNM, 0, 16384, 8388608, 30, 1012708392, yes
fast_kruskal, GNM, 1, 16384, 8388608, 30, 546910661, yes
fast_kruskal, GNM, 2, 16384, 8388608, 30, 547200552, yes
fast_kruskal, GNM, 3, 16384, 8388608, 20, 546951085, yes
i_max_filter, GNM, 0, 16384, 8388608, 30, 46640240, yes
i_max_filter, GNM, 1, 16384, 8388608, 30, 45484696, yes
i_max_filter, GNM, 2, 16384, 8388608, 30, 45233910, yes
i_max_filter, GNM, 3, 16384, 8388608, 30, 46602888, yes
parallel_i_max_filter, GNM, 0, 16384, 8388608, 30, 30570489, yes
parallel_i_max_filter, GNM, 1, 16384, 8388608, 30, 30551499, yes
parallel_i_max_filter, GNM, 2, 16384, 8388608, 30, 30759931, yes
parallel_i_max_filter, GNM, 3, 16384, 8388608, 30, 30587929, yes
jarnik_prim, GNM, 0, 16384, 8388608, 40, 107172240, yes
jarnik_prim, GNM, 1, 16384, 8388608, 40, 105649230, yes
jarnik_prim, GNM, 2, 16384, 8388608, 30, 105777271, yes
jarnik_prim, GNM, 3, 16384, 8388608, 30, 105714101, yes
fast_kruskal, GNM, 0, 16384, 16777216, 30, 2124309461, yes
fast_kruskal, GNM, 1, 16384, 16777216, 30, 1124758078, yes
fast_kruskal, GNM, 2, 16384, 16777216, 20, 1124930167, yes
fast_kruskal, GNM, 3, 16384, 16777216, 40, 1125097167, yes
i_max_filter, GNM, 0, 16384, 16777216, 40, 74503345, yes
i_max_filter, GNM, 1, 16384, 16777216, 40, 74290783, yes
i_max_filter, GNM, 2, 16384, 16777216, 30, 74401644, yes
i_max_filter, GNM, 3, 16384, 16777216, 30, 74039699, yes
parallel_i_max_filter, GNM, 0, 16384, 16777216, 30, 48007649, yes
parallel_i_max_filter, GNM, 1, 16384, 16777216, 40, 47835737, yes
parallel_i_max_filter, GNM, 2, 16384, 16777216, 30, 46517581, yes
parallel_i_max_filter, GNM, 3, 16384, 16777216, 30, 46932345, yes
jarnik_prim, GNM, 0, 16384, 16777216, 20, 200717069, yes
jarnik_prim, GNM, 1, 16384, 16777216, 30, 200278273, yes
jarnik_prim, GNM, 2, 16384, 16777216, 40, 200258270, yes
jarnik_prim, GNM, 3, 16384, 16777216, 30, 200094787, yes
fast_kruskal, GNM, 0, 32768, 32768, 30, 2841064, yes
fast_kruskal, GNM, 1, 32768, 32768, 10, 2025165, yes
fast_kruskal, GNM, 2, 32768, 32768, 20, 2025265, yes
fast_kruskal, GNM, 3, 32768, 32768, 20, 2008465, yes
i_max_filter, GNM, 0, 32768, 32768, 20, 3027406, yes
i_max_filter, GNM, 1, 32768, 32768, 20, 3035118, yes
i_max_filter, GNM, 2, 32768, 32768, 20, 3036297, yes
i_max_filter, GNM, 3, 32768, 32768, 20, 3046098, yes
parallel_i_max_filter, GNM, 0, 32768, 32768, 20, 3044228, yes
parallel_i_max_filter, GNM, 1, 32768, 32768, 20, 3063467, yes
parallel_i_max_filter, GNM, 2, 32768, 32768, 20, 3021547, yes
parallel_i_max_filter, GNM, 3, 32768, 32768, 20, 3047076, yes
jarnik_prim, GNM, 0, 32768, 32768, 20, 3021736, yes
jarnik_prim, GNM, 1, 32768, 32768, 20, 3047738, yes
jarnik_prim, GNM, 2, 32768, 32768, 20, 3015687, yes
jarnik_prim, GNM, 3, 32768, 32768, 20, 3039828, yes
fast_kruskal, GNM, 0, 32768, 65536, 20, 4923691, yes
fast_kruskal, GNM, 1, 32768, 65536, 20, 4272143, yes
fast_kruskal, GNM, 2, 32768, 65536, 20, 4255412, yes
fast_kruskal, GNM, 3, 32768, 65536, 20, 4259483, yes
i_max_filter, GNM, 0, 32768, 65536, 10, 4885331, yes
i_max_filter, GNM, 1, 32768, 65536, 20, 4902299, yes
i_max_filter, GNM, 2, 32768, 65536, 20, 4864399, yes
i_max_filter, GNM, 3, 32768, 65536, 20, 4922560, yes
parallel_i_max_filter, GNM, 0, 32768, 65536, 20, 4872900, yes
parallel_i_max_filter, GNM, 1, 32768, 65536, 20, 4957690, yes
parallel_i_max_filter, GNM, 2, 32768, 65536, 20, 4914450, yes
parallel_i_max_filter, GNM, 3, 32768, 65536, 20, 4844419, yes
jarnik_prim, GNM, 0, 32768, 65536, 10, 4924291, yes
jarnik_prim, GNM, 1, 32768, 65536, 20, 4865859, yes
jarnik_prim, GNM, 2, 32768, 65536, 20, 4890490, yes
jarnik_prim, GNM, 3, 32768, 65536, 20, 4886239, yes
fast_kruskal, GNM, 0, 32768, 131072, 20, 7627463, yes
fast_kruskal, GNM, 1, 32768, 131072, 20, 7071556, yes
fast_kruskal, GNM, 2, 32768, 131072, 20, 7057397, yes
fast_kruskal, GNM, 3, 32768, 131072, 20, 7066397, yes
i_max_filter, GNM, 0, 32768, 131072, 20, 6639971, yes
i_max_filter, GNM, 1, 32768, 131072, 20, 6579079, yes
i_max_filter, GNM, 2, 32768, 131072, 20, 6525760, yes
i_max_filter, GNM, 3, 32768, 131072, 20, 6557591, yes
parallel_i_max_filter, GNM, 0, 32768, 131072, 10, 6576840, yes
parallel_i_max_filter, GNM, 1, 32768, 131072, 20, 6691513, yes
parallel_i_max_filter, GNM, 2, 32768, 131072, 20, 6696312, yes
parallel_i_max_filter, GNM, 3, 32768, 131072, 20, 6652722, yes
